Id,LotArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,GarageArea,SalePrice
237,8773,0,0,2,0,3,494,185500
238,9453,0,0,2,1,3,457,194500
239,12030,0,0,2,0,3,818,318000
240,8741,0,0,1,1,3,220,113000
241,9000,1,0,2,0,3,750,262500
242,3880,0,0,1,0,2,0,110500
243,5000,0,0,1,0,3,352,79000
244,10762,0,0,1,1,3,288,120000
245,8880,1,0,2,1,3,463,205000
246,10400,0,1,2,0,3,604,241500
247,9142,0,0,2,0,4,440,137000
248,11310,0,0,1,0,2,451,140000
249,11317,0,0,2,1,3,500,180000
250,159000,0,1,2,0,4,389,277000
251,5350,0,0,1,0,3,0,76500
252,4750,1,1,2,0,2,538,235000
253,8366,0,0,2,1,3,520,173000
254,9350,0,1,2,0,3,309,158000
255,8400,1,0,1,0,3,294,145000
256,8738,0,0,2,1,4,429,230000
257,8791,0,0,2,1,3,673,207500
258,8814,1,0,2,1,3,660,220000
259,12435,0,0,2,1,3,564,231500
260,12702,0,0,1,0,2,308,97000
261,19296,1,0,1,0,3,884,176000
262,9588,0,0,2,1,3,868,276000
263,8471,1,0,1,0,3,492,151000
264,5500,1,0,1,0,3,484,130000
265,5232,0,0,1,0,2,504,73000
266,12090,0,0,2,0,3,576,175500
267,11207,1,0,2,1,3,413,185000
268,8400,0,0,2,1,4,240,179500
269,6900,0,0,1,0,2,924,120500
270,7917,1,0,1,1,3,504,148000
271,10728,0,0,2,1,3,1053,266000
272,39104,1,0,1,0,2,439,241500
273,11764,0,0,2,1,4,671,290000
274,9600,1,0,2,0,3,338,139000
275,8314,0,0,1,0,2,264,124500
276,7264,0,0,2,1,3,672,205000
277,9196,0,0,2,0,3,573,201000
278,19138,0,0,1,0,2,400,141000
279,14450,0,0,2,1,3,732,415298
280,10005,0,0,2,1,4,505,192000
281,11287,0,0,2,1,3,575,228500
282,7200,0,0,2,0,2,572,185000
283,5063,1,0,2,0,2,626,207500
284,9612,0,0,2,0,3,898,244600
285,8012,1,0,2,0,2,529,179200
286,4251,0,0,2,1,2,528,164700
287,9786,0,0,1,1,3,440,159000
288,8125,0,0,1,0,3,0,88000
289,9819,0,0,1,0,3,280,122000
290,8730,0,0,1,0,3,384,153575
291,15611,0,0,2,1,3,685,233230
292,5687,1,0,2,0,6,0,135900
293,11409,0,0,1,1,3,281,131000
294,16659,1,0,2,1,3,539,235000
295,9600,1,0,1,0,3,418,167000
296,7937,1,0,1,0,3,588,142500
297,13710,0,0,1,1,4,282,152000
298,7399,0,0,2,1,3,576,239000
299,11700,0,1,1,2,3,539,175000
300,14000,0,1,1,0,3,300,158500
301,15750,1,0,1,0,2,375,157000
302,16226,0,0,2,1,4,683,267000
303,13704,0,0,2,0,3,843,205000
304,9800,1,0,1,0,3,552,149900
305,18386,0,0,3,0,3,870,295000
306,10386,1,0,2,0,3,888,305900
307,13474,1,0,2,1,4,746,225000
308,7920,0,0,1,0,3,0,89500
309,12342,0,0,1,0,1,539,82500
310,12378,1,0,2,0,3,708,360000
311,7685,0,0,2,1,3,420,165600
312,8000,1,0,1,0,2,240,132000
313,7800,1,0,1,0,3,410,119900
314,215245,2,0,2,0,3,513,375000
315,9600,0,1,1,1,3,546,178000
316,7795,1,0,2,1,3,432,188500
317,13005,1,0,2,1,4,484,260000
318,9000,0,0,2,1,3,1025,270000
319,9900,1,0,2,1,4,656,260000
320,14115,1,0,2,0,3,588,187500
321,16259,0,0,3,1,4,840,342643
322,12099,1,0,2,1,4,872,354000
323,10380,1,0,2,1,4,576,301000
324,5820,1,0,1,0,3,220,126175
325,11275,0,0,2,1,5,564,242000
326,5000,0,0,1,0,2,360,87000
327,10846,2,0,1,1,1,473,324000
328,11600,0,0,1,1,3,292,145250
329,11888,0,0,2,0,5,441,214500
330,6402,0,0,1,0,3,189,78000
331,10624,0,1,2,0,6,352,119000
332,8176,1,0,1,0,3,308,139000
333,10655,1,0,2,0,3,880,284000
334,8198,1,0,2,0,2,484,207000
335,9042,1,0,2,1,3,472,192000
336,164660,2,0,2,0,3,529,228950
337,14157,1,0,2,0,3,676,377426
338,9135,1,0,2,0,3,532,214000
339,14145,1,0,2,0,3,440,202500
340,12400,0,0,1,0,3,297,155000
341,14191,0,0,2,1,4,431,202900
342,8400,0,0,1,0,2,294,82000
343,8544,0,0,2,0,2,400,87500
344,8849,0,0,2,0,2,564,266000
345,2592,0,0,1,1,3,336,85000
346,6435,0,0,1,0,3,312,140200
347,12772,0,0,1,0,2,301,151500
348,17600,1,0,2,0,3,498,157500
349,2448,1,0,2,1,2,474,154000
350,20431,1,0,2,1,4,706,437154
351,7820,0,0,2,0,2,617,318061
352,5271,1,0,1,1,2,445,190000
353,9084,0,1,1,0,3,200,95000
354,8520,0,0,1,0,2,484,105900
355,8400,0,0,1,0,2,240,140000
356,11249,1,0,2,0,3,521,177500
357,9248,1,0,2,0,3,400,173000
358,4224,1,0,1,1,3,528,134000
359,6930,0,1,1,0,3,288,130000
360,12011,1,0,2,1,3,592,280000
361,7540,1,0,1,0,2,470,156000
362,9144,1,0,1,0,3,240,145000
363,7301,0,0,3,0,4,672,198500
364,1680,0,0,1,1,2,264,118000
365,18800,1,0,2,1,3,566,190000
366,10690,0,0,1,0,3,468,147000
367,9500,1,0,1,1,3,514,159000
368,9150,0,1,1,0,3,296,165000
369,7800,0,0,1,0,2,244,132000
370,9830,1,0,1,0,3,576,162000
371,8121,0,0,2,1,3,460,172400
372,17120,0,0,2,0,4,680,134432
373,7175,1,0,1,0,2,264,125000
374,10634,1,0,1,0,3,270,123000
375,8200,0,0,2,1,4,434,219500
376,10020,1,0,0,1,1,0,61000
377,8846,0,0,1,0,2,576,148000
378,11143,0,0,3,0,4,610,340000
379,11394,1,0,1,1,1,834,394432
380,8123,0,0,2,1,3,463,179000
381,5000,0,0,2,0,3,308,127000
382,7200,1,0,2,0,2,572,187750
383,9245,0,0,2,1,3,639,213500
384,9000,0,0,1,0,2,360,76000
385,53107,1,0,2,1,3,501,240000
386,3182,0,0,2,0,2,430,192000
387,8410,0,0,1,0,5,0,81000
388,7200,1,0,1,0,3,352,125000
389,9382,0,0,2,0,3,577,191000
390,12474,1,0,2,1,3,846,426000
391,8405,1,0,1,0,4,384,119000
392,12209,1,0,2,1,3,560,215000
393,8339,0,0,1,0,3,294,106500
394,7446,0,0,1,0,2,0,100000
395,10134,0,0,1,0,2,240,109000
396,9571,1,0,1,0,3,596,129000
397,7200,0,0,1,0,2,600,123000
398,7590,0,0,2,0,4,264,169500
399,8967,0,0,1,0,2,338,67000
400,8125,1,0,2,0,2,438,241000
401,14963,1,0,1,1,1,500,245500
402,8767,0,0,2,0,3,400,164990
403,10200,0,0,1,0,2,240,108000
404,12090,0,0,2,1,4,420,258000
405,10364,0,0,2,1,3,373,168000
406,9991,1,0,2,0,3,490,150000
407,10480,0,0,1,0,3,240,115000
408,15576,0,0,2,0,4,308,177000
409,14154,0,0,2,1,3,947,280000
410,10800,1,0,2,1,3,836,339750
411,9571,0,0,1,0,3,350,60000
412,34650,1,0,1,0,3,572,145000
413,4403,1,0,2,1,2,484,222000
414,8960,0,0,1,0,2,360,115000
415,11228,0,1,2,1,3,678,228000
416,8899,0,0,2,0,3,396,181134
417,7844,0,0,1,1,3,440,149500
418,22420,1,0,2,1,4,864,239000
419,8160,1,0,1,1,3,240,126000
420,8450,1,0,1,0,3,304,142000
421,7060,2,0,2,0,2,784,206300
422,16635,0,1,2,0,3,529,215000
423,21750,0,0,1,0,2,520,113000
424,9200,1,0,2,1,4,696,315000
425,9000,1,0,1,0,2,297,139000
426,3378,0,0,1,1,3,240,135000
427,12800,1,1,2,0,2,569,275000
428,8593,0,0,1,0,3,352,109008
429,6762,1,0,2,0,2,628,195400
430,11457,1,0,2,0,3,576,175000
431,1680,0,0,1,1,2,264,85400
432,5586,0,0,1,0,4,0,79900
433,1920,1,0,1,1,2,440,122500
434,10839,0,0,2,1,3,470,181000
435,1890,1,0,1,0,1,0,81000
436,10667,1,0,2,1,3,550,212000
437,4400,0,0,1,0,2,440,116000
438,6000,0,0,1,0,2,180,119000
439,4280,0,0,1,0,2,352,90350
440,12354,0,0,1,0,3,528,110000
441,15431,1,0,2,0,2,672,555000
442,12108,0,0,2,0,4,0,118000
443,6240,0,0,2,0,3,360,162900
444,3922,0,0,2,0,2,648,172500
445,8750,1,0,2,1,4,493,210000
446,9855,0,0,1,0,3,480,127500
447,16492,0,0,2,1,2,578,190000
448,11214,0,0,2,1,4,431,199900
449,8600,0,0,2,0,3,198,119500
450,6000,0,0,1,1,2,308,120000
451,5684,0,0,1,0,2,270,110000
452,70761,1,0,2,0,2,576,280000
453,9303,1,0,2,1,3,422,204000
454,9000,0,0,2,1,3,676,210000
455,9297,2,0,2,0,4,560,188000
456,9600,0,0,1,1,3,528,175500
457,4571,0,0,1,0,4,513,98000
458,53227,1,0,1,0,2,529,256000
459,5100,0,0,1,0,3,228,161000
460,7015,1,0,1,0,3,352,110000
461,8004,1,0,2,1,3,552,263435
462,7200,1,0,1,0,3,576,155000
463,8281,0,0,1,0,3,360,62383
464,11988,0,0,1,1,3,240,188700
465,8430,0,0,2,0,3,0,124000
466,3072,0,0,2,0,2,398,178740
467,10628,1,0,1,0,2,526,167000
468,9480,0,0,1,1,3,312,146500
469,11428,0,0,2,0,3,866,250000
470,9291,0,0,2,1,3,506,187000
471,6820,1,0,1,1,1,528,212000
472,11952,0,0,2,1,3,534,190000
473,3675,1,0,1,0,2,525,148000
474,14977,1,0,2,0,2,908,440000
475,5330,1,0,2,0,2,499,251000
476,8480,1,0,1,0,2,624,132500
477,13125,1,0,2,0,3,508,208900
478,13693,0,0,2,1,3,694,380000
479,10637,1,0,2,0,3,826,297000
480,5925,0,0,1,0,2,672,89471
481,16033,1,0,2,0,3,772,326000
482,11846,1,0,2,0,2,874,374000
483,2500,1,0,1,1,4,164,155000
484,4500,1,0,2,0,2,402,164000
485,7758,1,0,1,0,3,264,132500
486,9600,0,0,1,0,3,264,147000
487,10289,1,0,1,1,3,515,156000
488,12243,0,0,2,0,3,487,175000
489,10800,0,0,2,0,3,520,160000
490,1526,1,0,1,0,1,286,86000
491,2665,0,0,1,1,3,336,115000
492,9490,1,0,1,0,3,240,133000
493,15578,0,0,2,1,3,429,172785
494,7931,0,0,1,1,3,308,155000
495,5784,0,0,1,0,2,273,91300
496,7879,0,0,1,0,2,0,34900
497,12692,1,0,3,0,4,546,430000
498,9120,1,0,2,0,4,240,184000
499,7800,0,0,1,0,3,288,130000
500,7535,0,1,1,0,2,297,120000
501,1890,0,0,1,1,3,264,113000
502,9803,0,0,2,1,3,603,226700
503,9170,1,0,1,0,2,461,140000
504,15602,1,0,2,0,1,484,289000
505,2308,0,1,2,1,3,440,147000
506,7596,0,0,2,0,4,400,124500
507,9554,0,0,2,1,3,471,215000
508,7862,0,0,2,0,2,676,208300
509,9600,0,0,2,0,3,360,161000
510,9600,1,0,1,0,3,270,124500
511,14559,1,0,1,0,2,288,164900
512,6792,0,0,2,0,2,474,202665
513,9100,1,0,1,0,3,624,129900
514,9187,0,0,1,1,3,484,134000
515,10594,0,0,1,0,2,200,96500
516,12220,1,0,2,1,3,900,402861
517,10448,0,0,2,1,3,583,158000
518,10208,0,0,2,1,3,889,265000
519,9531,1,0,2,1,3,546,211000
520,10918,0,0,1,1,3,282,234000
521,10800,0,0,2,0,3,0,106250
522,11988,0,0,1,1,3,336,150000
523,5000,0,0,2,0,3,420,159000
524,40094,1,0,3,1,3,884,184750
525,11787,1,0,2,1,3,834,315750
526,7500,0,0,2,0,3,453,176000
527,13300,0,0,1,0,2,252,132000
528,14948,1,0,2,1,3,858,446261
529,9098,1,0,1,0,2,0,86000
530,32668,1,0,3,0,4,484,200624
531,10200,1,0,2,0,3,600,175000
532,6155,0,0,2,0,3,502,128000
533,7200,0,0,1,0,2,392,107500
534,5000,0,0,1,0,1,0,39300
535,9056,0,0,2,1,3,403,178000
536,7000,1,0,1,0,3,0,107500
537,8924,0,0,2,1,3,527,188000
538,12735,0,0,1,0,3,576,111250
539,11553,0,0,1,1,3,336,158000
540,11423,1,0,2,0,3,670,272000
541,14601,1,0,2,0,2,765,315000
542,11000,0,0,2,1,4,648,248000
543,10140,1,0,2,0,3,583,213250
544,4058,1,0,1,0,1,367,133000
545,17104,1,0,2,1,3,426,179665
546,13837,0,0,2,1,4,786,229000
547,8737,0,0,1,1,3,440,210000
548,7244,1,0,1,0,2,624,129500
549,8235,1,0,1,0,2,720,125000
550,9375,0,0,2,1,4,615,263000
551,4043,0,0,2,0,2,440,140000
552,6000,0,0,1,0,3,288,112500
553,11146,0,0,2,0,3,908,255500
554,8777,0,0,2,0,2,520,108000
555,10625,1,0,2,1,3,871,284000
556,6380,0,0,1,0,2,280,113000
557,14850,1,0,1,0,2,299,141000
558,11040,0,0,1,1,3,570,108000
559,21872,0,1,2,1,3,406,175000
560,3196,0,0,2,0,2,420,234000
561,11341,1,0,1,1,3,528,121500
562,10010,1,0,1,0,2,418,170000
563,13907,1,0,1,0,3,0,108000
564,21780,0,0,2,0,4,396,185000
565,13346,1,0,2,1,4,590,268000
566,6858,1,0,1,1,4,216,128000
567,11198,0,0,2,1,4,656,325000
568,10171,0,0,2,0,3,532,214000
569,12327,1,0,1,1,1,612,316600
570,7032,1,0,1,0,2,600,135960
571,13101,0,0,2,0,6,576,142600
572,7332,1,0,1,0,2,288,120000
573,13159,0,0,2,1,3,650,224500
574,9967,0,0,2,1,3,400,170000
575,10500,0,1,1,0,3,288,139000
576,8480,0,0,1,0,2,336,118500
577,6292,0,1,2,0,3,216,145000
578,11777,1,0,1,0,3,564,164500
579,3604,0,0,2,0,2,540,146000
580,12150,0,0,2,0,4,352,131500
581,14585,0,1,1,0,3,572,181900
582,12704,0,0,2,1,3,1390,253293
583,11841,1,0,1,0,3,0,118500
584,13500,0,0,3,1,3,880,325000
585,6120,0,0,1,0,3,240,133000
586,11443,1,0,2,0,2,880,369900
587,10267,1,0,1,0,2,275,130000
588,8740,1,0,1,0,2,528,137000
589,25095,2,0,1,0,1,452,143000
590,9100,0,0,1,0,2,308,79500
591,8320,0,0,2,1,3,520,185900
592,13478,1,0,2,1,3,842,451950
593,6600,1,0,1,0,2,816,138000
594,4435,1,0,1,0,1,420,140000
595,7990,0,0,1,0,3,280,110000
596,11302,1,0,2,0,3,758,319000
597,3600,0,0,1,0,3,216,114504
598,3922,0,2,0,2,2,648,194201
599,12984,1,0,2,0,3,621,217500
600,1950,1,0,2,1,3,452,151000
601,10927,1,0,2,1,3,736,275000
602,9000,0,0,1,1,3,544,141000
603,10041,1,0,2,1,3,506,220000
604,3182,0,0,2,1,2,480,151000
605,12803,1,0,2,0,3,530,221000
606,13600,0,0,2,1,3,486,205000
607,12464,1,0,1,0,3,576,152000
608,7800,1,0,3,0,3,230,225000
609,12168,0,0,2,1,4,380,359100
610,7943,1,0,1,0,3,261,118500
611,11050,1,0,2,1,3,736,313000
612,10395,0,1,2,0,3,564,148000
613,11885,1,0,2,1,3,531,261500
614,8402,0,0,1,0,3,0,147000
615,1491,1,0,1,0,1,0,75500
616,8800,1,0,1,0,3,480,137500
617,7861,1,0,2,1,3,393,183200
618,7227,0,0,1,0,2,528,105500
619,11694,0,0,2,0,3,774,314813
620,12244,1,0,2,1,4,749,305000
621,8248,1,0,1,0,2,0,67000
622,10800,0,0,2,1,4,624,240000
623,7064,0,0,1,0,3,484,135000
624,2117,0,0,2,1,2,440,168500
625,10400,1,0,1,2,4,484,165150
626,10000,0,0,1,1,3,440,160000
627,12342,0,0,1,0,3,286,139900
628,9600,1,0,1,0,3,364,153000
629,11606,0,1,1,2,5,504,135000
630,9020,1,0,1,1,3,520,168500
631,9000,0,0,1,0,3,240,124000
632,4590,0,0,2,0,2,627,209500
633,11900,0,0,2,0,3,544,82500
634,9250,0,1,1,0,3,260,139400
635,6979,2,0,0,0,0,576,144000
636,10896,0,0,2,0,8,0,200000
637,6120,0,0,1,0,1,0,60000
638,6000,0,0,2,0,3,256,93000
639,8777,0,0,1,0,2,0,85000
640,3982,1,0,2,0,1,648,264561
641,12677,0,0,1,1,1,588,274000
642,7050,1,0,2,1,3,650,226000
643,13860,1,0,2,1,4,538,345000
644,10793,0,0,2,1,4,462,152000
645,9187,1,0,2,1,2,478,370878
646,10530,1,0,1,1,3,576,143250
647,7200,0,0,1,0,3,420,98300
648,10452,0,0,1,0,3,495,155000
649,7700,0,0,1,1,4,442,155000
650,1936,1,0,1,0,1,0,84500
651,8125,0,0,2,1,3,562,205950
652,9084,1,0,1,0,4,296,108000
653,8750,0,0,2,1,2,512,191000
654,10320,0,0,1,0,3,216,135000
655,10437,1,0,2,1,2,839,350000
656,1680,0,0,1,1,3,264,88000
657,10007,1,0,1,1,3,312,145500
658,7200,0,0,1,1,3,270,149000
659,17503,0,1,1,0,3,330,97500
660,9937,1,0,1,0,3,480,167000
661,12384,0,0,2,1,3,550,197900
662,46589,1,0,2,1,4,711,402000
663,13560,1,0,1,0,2,576,110000
664,10012,1,0,2,0,3,588,137500
665,20896,1,0,1,1,1,1134,423000
666,11194,0,0,2,1,3,504,230500
667,18450,0,0,2,1,3,596,129000
668,8125,1,0,2,0,3,575,193500
669,14175,1,0,1,1,3,576,168000
670,11600,0,0,1,0,2,252,137500
671,8633,1,0,2,1,3,540,173500
672,6629,1,0,2,0,3,300,103600
673,11250,1,0,1,1,3,546,165000
674,14442,1,0,2,0,3,416,257500
675,9200,1,0,1,0,3,384,140000
676,2289,0,0,2,1,3,440,148500
677,9600,1,0,2,0,4,779,87000
678,9022,0,0,1,0,2,240,109500
679,11844,0,0,2,1,3,834,372500
680,9945,1,0,1,0,3,572,128500
681,8012,0,0,2,0,2,264,143000
682,4500,0,0,1,0,3,281,159434
683,2887,1,0,1,0,2,431,173000
684,11248,1,0,2,0,3,702,285000
685,16770,0,0,2,1,4,486,221000
686,5062,1,0,2,0,3,577,207500
687,10207,0,0,3,0,3,578,227875
688,5105,0,0,2,1,2,480,148800
689,8089,1,0,2,0,2,567,392000
690,7577,0,0,2,0,2,460,194700
691,4426,1,0,1,0,1,420,141000
692,21535,0,1,3,1,4,832,755000
693,26178,1,0,2,1,4,628,335000
